  *** Seats Build date :3-Jun-2005  ***
 x
  DATE           SERIES                  TRENDCYCLE              SASERIES                SEASONAL                CALENDAR                TRANS*IR                PREADJUST               E-RESID
12-1950          140.000000              152.621801              153.051554              91.4724460              101.186868              100.281580              101.186868             0.565885565E-01
 1-1951          145.000000              158.041552              160.028923              90.6086209              99.1189941              101.257499              99.1189941             0.717372519E-01
 2-1951          150.000000              161.461597              160.694910              93.3445870              99.1150442              99.5251581              99.1150442            -0.435185534E-01
 3-1951          178.000000              163.877520              165.209491              107.741994              101.462197              100.812785              101.462197             0.242344101E-01
 4-1951          163.000000              164.997257              165.357102              98.5745384              99.1420314              100.218091              99.1420314             0.132047502E-02
 5-1951          172.000000              164.910711              182.276917              94.3619208              99.1189941              110.530672              109.560501             0.397745609E-02
 6-1951          178.000000              165.595200              163.903999              108.600157              100.443435              98.9787143              100.443435            -0.276420490E-01
 7-1951          199.000000              167.792373              168.622321              118.015218              100.147594              100.494628              100.147594             0.129153641E-01
 8-1951          199.000000              170.308294              169.862634              117.153488              99.1189941              99.7383220              99.1189941            -0.824097214E-02
 9-1951          184.000000              173.474250              172.456504              106.693570              101.485779              99.4133156              101.485779            -0.143808462E-01
10-1951          162.000000              178.013142              178.279768              90.8684152              99.1189941              100.149779              99.1189941             0.532809875E-01
11-1951          146.000000              181.580752              183.948795              79.3699138              99.4117969              101.304127              99.4117969             0.332484713E-01
12-1951          166.000000              183.738175              181.207081              91.6078993              101.186868              98.6224448              101.186868            -0.434615146E-01
 1-1952          171.000000              186.553371              188.177780              90.8715154              99.1189941              100.870748              99.1189941             0.219845277E-01
 2-1952          180.000000              187.282171              190.242166              94.6162480              102.352512              101.580500              102.352512            -0.379776549E-01
 3-1952          193.000000              185.030859              182.681541              105.648332              100.709775              98.7303101              100.709775            -0.516651033E-01
 4-1952          181.000000              185.347071              182.773336              99.0297624              99.8827411              98.6113968              99.8827411             0.224295050E-02
 5-1952          183.000000              190.325426              189.950421              96.3409290              100.147594              99.8029665              100.147594             0.566817742E-01
 6-1952          218.000000              195.357940              199.001321              109.547012              100.443435              101.864977              100.443435             0.434647557E-01
 7-1952          230.000000              197.833204              195.476228              117.661366              99.1189941              98.8086043              99.1189941            -0.345745273E-01
 8-1952          242.000000              200.053926              201.601588              120.038737              101.186868              100.773622              101.186868             0.110476274E-01
 9-1952          209.000000              203.391146              200.778983              104.094560              99.4117969              98.7156948              99.4117969            -0.323398489E-01
10-1952          191.000000              207.957192              209.657162              91.1011090              99.1189941              100.817461              99.1189941             0.402183609E-01
11-1952          172.000000              212.311047              212.067731              81.1061630              101.485779              99.8853969              101.485779            -0.331452949E-02
12-1952          194.000000              214.974774              216.690995              89.5284089              99.1189941              100.798336              99.1189941             0.936710417E-02
 1-1953          196.000000              216.868976              214.968126              91.1763078              100.147594              99.1235028              100.147594            -0.358746022E-01
 2-1953          196.000000              220.639075              219.474342              89.3042887              99.1150442              99.4721092              99.1150442            -0.331283499E-01
 3-1953          236.000000              226.894935              227.011004              103.959718              99.6754008              100.051155              99.6754008             0.668235678E-01
 4-1953          235.000000              231.363541              235.631954              99.7318045              99.8827411              101.844895              99.8827411             0.614356425E-01
 5-1953          229.000000              229.621930              231.670823              98.8471476              101.186868              100.892290              101.186868            -0.120110972E-01
 6-1953          243.000000              224.706675              221.957135              109.480598              99.4117969              98.7763874              99.4117969            -0.780521563E-01
 7-1953          264.000000              222.905376              221.142304              119.380144              99.1189941              99.2090488              99.1189941            -0.974038303E-02
 8-1953          272.000000              224.536269              224.897439              120.944018              101.186868              100.160852              101.186868            -0.146487858E-01
 9-1953          237.000000              226.669869              226.853214              104.472842              99.4117969              100.080887              99.4117969            -0.955199104E-02
10-1953          211.000000              227.181970              229.229458              92.0475063              100.147594              100.901255              100.147594            -0.157068291E-01
11-1953          180.000000              225.976460              224.654546              80.1230170              100.443435              99.4150212              100.443435            -0.392517376E-01
12-1953          201.000000              224.504861              225.582014              89.1028484              99.1189941              100.479790              99.1189941            -0.200284492E-01
 1-1954          204.000000              222.184326              222.842776              91.5443632              101.186868              100.296353              101.186868            -0.264623069E-01
 2-1954          188.000000              222.367214              215.828835              87.1060624              99.1150442              97.0596481              99.1150442            -0.888274157E-01
 3-1954          235.000000              227.201229              232.104570              101.247468              98.6516509              102.158149              98.6516509             0.726205057E-01
 4-1954          227.000000              231.611254              229.581449              98.8755848              99.8827411              99.1236155              99.8827411            -0.560379484E-02
 5-1954          234.000000              235.140594              235.938144              99.1785372              101.186868              100.339180              101.186868             0.460800010E-01
 6-1954          264.000000              239.450209              238.698072              110.599972              99.4117969              99.6858900              99.4117969             0.284870126E-01
 7-1954          302.000000              242.691614              245.381473              123.073677              100.147594              101.108344              100.147594             0.442038975E-01
 8-1954          293.000000              244.357022              242.519861              120.814847              100.147594              99.2481651              100.147594            -0.410742045E-01
 9-1954          259.000000              246.125408              246.973330              104.869623              99.4117969              100.344508              99.4117969            -0.458398612E-02
10-1954          229.000000              249.435555              246.983196              92.7188585              101.186868              99.0168368              101.186868            -0.250206617E-01
11-1954          203.000000              254.051501              256.033682              79.2864433              99.4117969              100.780228              99.4117969             0.375212286E-01
12-1954          229.000000              258.545042              257.432010              88.9555266              99.1189941              99.5695018              99.1189941            -0.352193950E-02
 1-1955          242.000000              263.191415              263.271737              91.9202352              101.186868              100.030518              101.186868             0.279838707E-01
 2-1955          233.000000              267.157462              269.438596              86.4761039              99.1150442              100.853854              99.1150442             0.435677416E-02
 3-1955          267.000000              269.271428              267.854314              99.6810528              98.6516509              99.4737227              98.6516509            -0.452030603E-01
 4-1955          269.000000              271.834648              271.615198              99.0371679              100.919267              99.9192710              100.919267             0.195847307E-01
 5-1955          270.000000              276.230398              274.985712              98.1869198              100.147594              99.5494028              100.147594             0.194923664E-01
 6-1955          315.000000              281.967663              282.512495              111.499493              99.4117969              100.193225              99.4117969             0.369709325E-01
 7-1955          364.000000              286.655885              288.800196              126.038696              101.186868              100.748043              101.186868             0.244010686E-01
 8-1955          347.000000              290.176475              287.375542              120.747923              99.1189941              99.0347484              99.1189941            -0.170761347E-01
 9-1955          312.000000              294.088471              296.945650              105.069733              99.4117969              100.971537              99.4117969             0.480673795E-02
10-1955          274.000000              297.153548              295.762107              92.6420234              101.186868              99.5317433              101.186868            -0.183939410E-01
11-1955          237.000000              301.447175              299.231430              79.2029100              99.4117969              99.2649641              99.4117969            -0.657828441E-02
12-1955          278.000000              307.498714              310.483269              89.5378358              100.147594              100.970591              100.147594             0.240510880E-01
 1-1956          284.000000              311.173646              311.635006              91.1322523              100.147594              100.148265              100.147594             0.368668008E-02
 2-1956          277.000000              312.846881              312.299220              88.6969875              102.352512              99.8249428              102.352512            -0.285390980E-01
 3-1956          317.000000              316.229330              313.846750              101.004710              101.462197              99.2465658              101.462197            -0.233080705E-01
 4-1956          313.000000              321.646577              323.531207              96.7449177              99.1420314              100.585932              99.1420314             0.353425636E-01
 5-1956          318.000000              326.134791              326.429293              97.4177279              99.1189941              100.090301              99.1189941             0.173490125E-01
 6-1956          374.000000              328.280866              329.770365              113.412253              100.443435              100.453727              100.443435             0.667869658E-02
 7-1956          413.000000              329.262960              327.891266              125.956389              100.147594              99.5834046              100.147594            -0.139592421E-01
 8-1956          405.000000              330.471305              331.244312              122.266251              99.1189941              100.233910              99.1189941             0.643447205E-02
 9-1956          355.000000              332.557232              330.796149              107.316848              101.485779              99.4704418              101.485779            -0.419789812E-01
10-1956          306.000000              336.322562              336.143848              91.0324558              99.1189941              99.9468623              99.1189941             0.835973249E-02
11-1956          271.000000              340.172980              342.177464              79.1986698              99.4117969              100.589254              99.4117969             0.170631332E-02
12-1956          306.000000              343.522130              340.517239              89.8632918              101.186868              99.1252700              101.186868            -0.358810202E-01
 1-1957          315.000000              348.376859              349.811868              90.0484029              99.1189941              100.411913              99.1189941             0.245842781E-01
 2-1957          301.000000              353.741495              353.066086              85.2531613              99.1150442              99.8090672              99.1150442            -0.102517328E-01
 3-1957          356.000000              358.026812              359.792476              98.9459267              100.709775              100.493165              100.709775            -0.289866765E-02
 4-1957          348.000000              361.223943              360.180835              96.6181336              99.8827411              99.7112295              99.8827411            -0.633335802E-02
 5-1957          355.000000              364.226651              364.784696              97.3176790              99.1189941              100.153214              99.1189941             0.173746106E-01
 6-1957          422.000000              367.075075              367.179669              114.930111              101.485779              100.028494              101.485779             0.469208480E-02
 7-1957          465.000000              369.623239              369.260420              125.927387              99.1189941              99.9018410              99.1189941             0.117038636E-01
 8-1957          467.000000              373.099408              372.020115              125.530847              100.147594              99.7107223              100.147594             0.856066446E-02
 9-1957          404.000000              376.775168              378.903158              106.623550              100.443435              100.564791              100.443435            -0.127561016E-01
10-1957          347.000000              378.778365              378.393126              91.7035686              99.1189941              99.8982945              99.1189941            -0.878442641E-02
11-1957          305.000000              379.328358              380.334779              80.1925086              100.443435              100.265316              100.443435            -0.185184024E-01
12-1957          336.000000              378.867217              378.853406              88.6886577              100.147594              99.9963546              100.147594            -0.241040155E-01
 1-1958          340.000000              377.419264              378.033090              89.9392168              99.1189941              100.162638              99.1189941            -0.159733684E-01
 2-1958          318.000000              374.730452              375.582445              84.6684940              99.1150442              100.227362              99.1150442            -0.297912284E-01
 3-1958          362.000000              370.365556              370.938342              97.5903428              100.709775              100.154654              100.709775            -0.425242670E-01
 4-1958          348.000000              367.772610              362.854651              95.9061703              99.8827411              98.6627720              99.8827411            -0.246134256E-01
 5-1958          363.000000              371.840072              369.773576              98.1681827              100.147594              99.4442515              100.147594             0.181209196E-01
 6-1958          435.000000              379.933370              382.419339              113.749477              100.443435              100.654317              100.443435             0.321332434E-01
 7-1958          491.000000              386.454378              386.548791              127.021481              99.1189941              100.024431              99.1189941             0.230085327E-01
 8-1958          505.000000              388.575776              393.558455              128.316390              101.186868              101.282293              101.186868             0.197434604E-01
 9-1958          404.000000              387.622700              382.930822              105.502085              99.4117969              98.7895761              99.4117969            -0.621351862E-01
10-1958          359.000000              387.029289              390.916344              91.8355054              99.1189941              101.004331              99.1189941             0.128540824E-01
11-1958          310.000000              386.340312              383.508165              80.8326989              101.485779              99.2669294              101.485779            -0.352800051E-01
12-1958          337.000000              388.804338              385.243213              87.4772063              99.1189941              99.0840830              99.1189941            -0.764341869E-02
 1-1959          360.000000              396.793283              397.506890              90.5644679              100.147594              100.179844              100.147594             0.260966001E-01
 2-1959          342.000000              406.275629              406.269753              84.1805223              99.1150442              99.9985537              99.1150442             0.150437693E-01
 3-1959          406.000000              413.793570              416.800668              97.4086730              101.462197              100.726715              101.462197             0.168088072E-01
 4-1959          396.000000              417.948427              417.844886              94.7720106              98.1237596              99.9752266              98.1237596             0.318606480E-01
 5-1959          420.000000              419.929173              420.838329              99.8007955              101.186868              100.216502              101.186868             0.266058153E-02
 6-1959          472.000000              422.877252              419.464496              112.524422              99.4117969              99.1929676              99.4117969            -0.283236634E-01
 7-1959          548.000000              428.348409              429.999728              127.441941              99.1189941              100.385508              99.1189941             0.241951670E-01
 8-1959          559.000000              433.923002              433.980979              128.807489              101.186868              100.013361              101.186868             0.305384277E-02
 9-1959          463.000000              437.631167              439.085256              105.446492              99.4117969              100.332264              99.4117969             0.303531426E-02
10-1959          407.000000              442.000910              437.867659              92.9504594              100.147594              99.0648771              100.147594            -0.108281931E-01
11-1959          362.000000              449.865971              450.784547              80.3044386              100.443435              100.204189              100.443435             0.306910135E-01
12-1959          405.000000              456.281289              461.354792              87.7849340              99.1189941              101.111925              99.1189941             0.201840279E-01
 1-1960          417.000000              456.250402              456.269296              91.3933950              101.186868              100.004141              101.186868            -0.313932676E-01
 2-1960          391.000000              453.513793              452.998021              86.3138429              102.352512              99.8862719              102.352512            -0.325512586E-01
 3-1960          419.000000              456.205670              447.869550              93.5540270              98.6516509              98.1727278              98.6516509            -0.384147742E-01
 4-1960          461.000000              465.994588              471.406166              97.7925265              100.919267              101.161296              100.919267             0.747215207E-01
 5-1960          472.000000              473.450876              475.514157              99.2609775              100.147594              100.435796              100.147594             0.112861645E-01
 6-1960          535.000000              475.702892              475.055773              112.618356              99.4117969              99.8639657              99.4117969            -0.146956034E-01
 7-1960          622.000000              477.548639              477.372897              130.296463              101.186868              99.9631992              101.186868            -0.730750108E-02
 8-1960          606.000000              479.920621              479.927745              126.269008              99.1189941              100.001484              99.1189941            -0.535588429E-02
 9-1960          508.000000              483.316862              481.640627              105.472830              99.4117969              99.6531809              99.4117969            -0.790923015E-02
10-1960          461.000000              487.273528              489.636093              94.1515559              101.186868              100.484854              101.186868             0.150319926E-01
11-1960          390.000000              488.991660              489.757418              79.6312594              99.4117969              100.156600              99.4117969            -0.118092730E-01
12-1960          432.000000              489.582187              487.544730              88.6072546              100.147594              99.5838375              100.147594            -0.237034505E-01
 1-1961          444.296392              492.059630              492.059630              90.2932013              100.147594              100.000000              100.147594              0.00000000    
 2-1961          413.509290              495.756913              495.756913              83.4096870              99.1150442              100.000000              99.1150442              0.00000000    
 3-1961          465.549801              499.481978              499.481978              93.2065262              98.6516509              100.000000              98.6516509              0.00000000    
 4-1961          497.550773              503.235032              503.235032              98.8704563              101.966548              100.000000              101.966548              0.00000000    
 5-1961          498.355774              507.016287              507.016287              98.2918669              99.1189941              100.000000              99.1189941              0.00000000    
 6-1961          575.295575              510.825953              510.825953              112.620663              99.4117969              100.000000              99.4117969              0.00000000    
 7-1961          670.716595              514.664245              514.664245              130.321195              101.186868              100.000000              101.186868              0.00000000    
 8-1961          654.931182              518.531377              518.531377              126.305024              99.1189941              100.000000              99.1189941              0.00000000    
 9-1961          556.730521              522.427566              522.427566              106.566069              100.443435              100.000000              100.443435              0.00000000    
10-1961          490.987607              526.353032              526.353032              93.2810448              100.147594              100.000000              100.147594              0.00000000    
11-1961          422.516883              530.307992              530.307992              79.6738667              99.4117969              100.000000              99.4117969              0.00000000    
12-1961          478.158495              534.292670              534.292670              89.4937405              101.186868              100.000000              101.186868              0.00000000    
 1-1962          481.062692              538.307288              538.307288              89.3658145              99.1189941              100.000000              99.1189941              0.00000000    
 2-1962          452.374165              542.352072              542.352072              83.4096870              99.1150442              100.000000              99.1150442              0.00000000    
 3-1962          514.591137              546.427247              546.427247              94.1737697              99.6754008              100.000000              99.6754008              0.00000000    
 4-1962          538.723965              550.533043              550.533043              97.8549738              100.919267              100.000000              100.919267              0.00000000    
 5-1962          545.195193              554.669690              554.669690              98.2918669              99.1189941              100.000000              99.1189941              0.00000000    
 6-1962          635.897607              558.837419              558.837419              113.789375              100.443435              100.000000              100.443435              0.00000000    
 7-1962          726.219562              563.036463              563.036463              128.982687              100.147594              100.000000              100.147594              0.00000000    
 8-1962          716.486798              567.267059              567.267059              126.305024              99.1189941              100.000000              99.1189941              0.00000000    
 9-1962          615.376897              571.529444              571.529444              107.671950              101.485779              100.000000              101.485779              0.00000000    
10-1962          531.617687              575.823855              575.823855              92.3229703              99.1189941              100.000000              99.1189941              0.00000000    
11-1962          462.228363              580.150534              580.150534              79.6738667              99.4117969              100.000000              99.4117969              0.00000000    
12-1962          523.099615              584.509723              584.509723              89.4937405              101.186868              100.000000              101.186868              0.00000000    
